name,rank,position,team,age,years_exp
Kalif Raymond,489,WR213,CHI,31,10
Isaiah Hodgins,490,WR214,NYG,27,6
Ricky White III,491,WR215,SEA,24,1
Spencer Rattler,492,QB50,NO,25,2
Joe Milton III,493,QB51,DAL,26,2
Will Levis,494,QB52,TEN,26,3
Tim Patrick,495,WR216,FA,32,9
Marquez Valdes-Scantling,496,WR217,FA,31,8
Hunter Renfrow,497,WR218,FA,30,7
Dillon Bell,498,WR219,FA,22,R
Malik Benson,499,WR220,FA,23,R
Jeff Caldwell,500,WR221,FA,23,R
Bryce Oliver,501,WR222,TEN,25,2
Zay Jones,502,WR223,FA,31,9
David Sills V,503,WR224,TB,29,7
Jalen Brooks,504,WR225,ARI,25,3
James Mitchell,505,TE68,CAR,26,4
Parris Campbell,506,WR226,DAL,28,7
John Michael Gyllenborg,507,TE69,FA,23,R
Emmanuel Henderson Jr.,508,WR227,FA,22,R
Chris Hilton Jr.,509,WR228,FA,23,R
Caullin Lacy,510,WR229,FA,24,R
Kaden Wetjen,511,WR231,FA,24,R
Colbie Young,512,WR232,FA,22,R
Drew Lock,513,QB53,SEA,29,7
Brock Wright,514,TE70,DET,27,5
Michael Woods II,515,WR233,FA,26,4
Nelson Agholor,516,WR234,FA,32,11
Tommy Tremble,517,TE72,CAR,25,5
Jordan Akins,518,TE73,FA,34,8
Nate Boerkircher,519,TE74,FA,24,R
Daniel Bellinger,520,TE75,TEN,25,4
Carson Beck,521,QB54,FA,24,R
Luke Schoonmaker,522,TE76,DAL,27,3
Elijah Higgins,523,TE77,ARI,25,3
Dillon Gabriel,524,QB55,CLE,25,1
Davis Allen,525,TE78,LAR,25,3
Rakim Jarrett,526,WR235,FA,25,3
John FitzPatrick,527,TE79,FA,26,4
Charlie Kolar,528,TE80,LAC,27,4
Derek Carr,529,QB56,FA,35,12
Tyler Conklin,530,TE81,DET,30,8
Austin Hooper,531,TE82,ATL,31,10
Cole Payton,532,QB57,FA,23,R
DJ Turner,533,WR236,FA,29,5
Allen Lazard,534,WR237,FA,30,8
Tyler Boyd,535,WR238,FA,31,10
KhaDarel Hodge,536,WR239,FA,31,8
Jordan Hudson,537,WR240,FA,22,R
Gage Larvadain,538,WR241,CLE,23,1
Donaven McCulley,539,WR242,FA,23,R
Zavion Thomas,540,WR243,FA,22,R
Devin Voisin,541,WR244,FA,24,R
Jalen Walthall,542,WR245,FA,23,R
Amari Cooper,543,WR246,FA,31,11
Josh Oliver,544,TE83,MIN,29,7
Dante Pettis,545,WR248,FA,30,8
Ray-Ray McCloud III,546,WR249,FA,29,8
Will Howard,547,QB59,PIT,24,1
Grant Calcaterra,548,TE84,PHI,27,4
